entry_id,invoice_date,vendor_name,vendor_gstin,invoice_no,taxable_value,gst_rate,cgst,sgst,igst,total_itc,invoice_total
PR-0001,2026-08-02,Anant Enterprises,27AAACA1234F1Z5,ANT/2026-27/0114,210000,18,18900,18900,0,37800,247800
PR-0002,2026-08-03,Krishna Traders,27AABCK5678G1Z2,KT-2026-0007,145000,18,13050,13050,0,26100,171100
PR-0003,2026-08-05,Meridian Packaging Pvt Ltd,27AAECM9012H1Z8,MP/8821,88000,12,5280,5280,0,10560,98560
PR-0004,2026-08-08,Sunrise Logistics LLP,29AABFS3456J1Z4,SL-2026-0442,56000,5,0,0,2800,2800,58800
PR-0005,2026-08-11,Vertex Components,24AAGCV7890K1Z1,VC/26/1180,320000,18,0,0,57600,57600,377600
PR-0006,2026-08-12,Orbit Stationers,27AAHCO2345L1Z9,OS/2026/0033,12500,18,1125,1125,0,2250,14750
PR-0007,2026-08-14,Anant Enterprises,27AAACA1234F1Z5,ANT/2026-27/0121,96000,18,8640,8640,0,17280,113280
PR-0008,2026-08-18,Meridian Packaging Private Limited,27AAECM9012H1Z8,MP/8847,134000,12,8040,8040,0,16080,150080
PR-0009,2026-08-20,Krishna Traders,27AABCK5678G1Z2,KT-2026-0019,178000,18,16020,16020,0,32040,210040
PR-0010,2026-08-22,Sunrise Logistics LLP,29AABFS3456J1Z4,SL-2026-0501,74000,5,0,0,3700,3700,77700
PR-0011,2026-08-25,Deccan Hardware,,DH/1207,41000,18,3690,3690,0,7380,48380
PR-0012,2026-08-28,Vertex Components,24AAGCV7890K1Z1,VC/26/1243,265000,18,0,0,47700,47700,312700
