txn_id,value_date,narration,debit,credit,balance,utr_ref
BK-0001,2026-08-02,NEFT DR ANANT ENT,247800,,4152200,N026214553211
BK-0002,2026-08-04,RTGS CR HARBOUR RETAIL,,441000,4593200,R026215001188
BK-0003,2026-08-06,NEFT DR MERIDIAN PACKAGING,98560,,4494640,N026216772304
BK-0004,2026-08-08,IMPS DR SUNRISE LOG,58800,,4435840,I026218440091
BK-0005,2026-08-11,NEFT DR VERTEX COMP,377600,,4058240,N026221900776
BK-0006,2026-08-12,BANK CHARGES AUG,1180,,4057060,
BK-0007,2026-08-14,TRF ANANT ENT,210000,,3847060,N026224551900
BK-0008,2026-08-14,TRF ANANT ENT,210000,,3637060,N026224551900
BK-0009,2026-08-18,RTGS CR SENTINEL SYSTEMS,,270000,3907060,R026228110433
BK-0010,2026-08-20,NEFT DR ORBIT STAT,14750,,3892310,N026230445612
BK-0011,2026-08-22,GST PAYMENT PMT-06,186400,,3705910,
BK-0012,2026-08-26,NEFT DR DECCAN HARDWARE,48380,,3657530,N026236008874
BK-0013,2026-08-28,INTEREST CREDIT,,4310,3661840,
BK-0014,2026-08-29,NEFT DR MERIDIAN PACKAGING,150080,,3511760,N026239221055
BK-0015,2026-08-31,CHEQUE 004417 PRESENTED,62000,,3449760,
